,housing_density,count,2.0,3.0,4.0
0,1.0,0.28884462151394424,0,0,0
1,2.0,0.25298804780876494,1,0,0
2,3.0,0.25298804780876494,0,1,0
3,4.0,0.2051792828685259,0,0,1
4,1.0,0.31137724550898205,0,0,0
5,2.0,0.24550898203592814,1,0,0
6,3.0,0.2694610778443114,0,1,0
7,4.0,0.17365269461077845,0,0,1
8,1.0,0.26730310262529833,0,0,0
9,2.0,0.27684964200477324,1,0,0
10,3.0,0.26730310262529833,0,1,0
11,4.0,0.18854415274463007,0,0,1
12,1.0,0.2977941176470588,0,0,0
13,2.0,0.2536764705882353,1,0,0
14,3.0,0.24632352941176472,0,1,0
15,4.0,0.20220588235294118,0,0,1
16,1.0,0.3048780487804878,0,0,0
17,2.0,0.2682926829268293,1,0,0
18,3.0,0.2601626016260163,0,1,0
19,4.0,0.16666666666666666,0,0,1
20,1.0,0.265625,0,0,0
21,2.0,0.2734375,1,0,0
22,3.0,0.27734375,0,1,0
23,4.0,0.18359375,0,0,1
24,1.0,0.3888888888888889,0,0,0
25,2.0,0.28703703703703703,1,0,0
26,3.0,0.23148148148148148,0,1,0
27,4.0,0.09259259259259259,0,0,1
28,1.0,0.3739130434782609,0,0,0
29,2.0,0.25217391304347825,1,0,0
30,3.0,0.1956521739130435,0,1,0
31,4.0,0.1782608695652174,0,0,1
32,1.0,0.2328767123287671,0,0,0
33,2.0,0.29158512720156554,1,0,0
34,3.0,0.3150684931506849,0,1,0
35,4.0,0.16046966731898238,0,0,1
36,1.0,0.2841409691629956,0,0,0
37,2.0,0.2775330396475771,1,0,0
38,3.0,0.2753303964757709,0,1,0
39,4.0,0.16299559471365638,0,0,1
40,1.0,0.4074074074074074,0,0,0
41,2.0,0.25925925925925924,1,0,0
42,3.0,0.20987654320987653,0,1,0
43,4.0,0.12345679012345678,0,0,1
44,1.0,0.27923627684964203,0,0,0
45,2.0,0.28162291169451076,1,0,0
46,3.0,0.2458233890214797,0,1,0
47,4.0,0.19331742243436753,0,0,1
48,1.0,0.25077399380804954,0,0,0
49,2.0,0.3219814241486068,1,0,0
50,3.0,0.30030959752321984,0,1,0
51,4.0,0.12693498452012383,0,0,1
52,1.0,0.308,0,0,0
53,2.0,0.26,1,0,0
54,3.0,0.24,0,1,0
55,4.0,0.192,0,0,1
56,1.0,0.1984126984126984,0,0,0
57,2.0,0.3412698412698413,1,0,0
58,3.0,0.3253968253968254,0,1,0
59,4.0,0.1349206349206349,0,0,1
60,1.0,0.2449438202247191,0,0,0
61,2.0,0.26292134831460673,1,0,0
62,3.0,0.33707865168539325,0,1,0
63,4.0,0.1550561797752809,0,0,1
64,1.0,0.29213483146067415,0,0,0
65,2.0,0.2883895131086142,1,0,0
66,3.0,0.27715355805243447,0,1,0
67,4.0,0.14232209737827714,0,0,1
68,1.0,0.2531847133757962,0,0,0
69,2.0,0.27388535031847133,1,0,0
70,3.0,0.2898089171974522,0,1,0
71,4.0,0.18312101910828024,0,0,1
72,1.0,0.2894736842105263,0,0,0
73,2.0,0.2703349282296651,1,0,0
74,3.0,0.23444976076555024,0,1,0
75,4.0,0.20574162679425836,0,0,1
76,1.0,0.2585227272727273,0,0,0
77,2.0,0.3096590909090909,1,0,0
78,3.0,0.2727272727272727,0,1,0
79,4.0,0.1590909090909091,0,0,1
80,1.0,0.27714285714285714,0,0,0
81,2.0,0.2885714285714286,1,0,0
82,3.0,0.2742857142857143,0,1,0
83,4.0,0.16,0,0,1
84,1.0,0.2651162790697674,0,0,0
85,2.0,0.27674418604651163,1,0,0
86,3.0,0.2744186046511628,0,1,0
87,4.0,0.18372093023255814,0,0,1
88,1.0,0.315136476426799,0,0,0
89,2.0,0.2729528535980149,1,0,0
90,3.0,0.2704714640198511,0,1,0
91,4.0,0.141439205955335,0,0,1
92,1.0,0.2932330827067669,0,0,0
93,2.0,0.2832080200501253,1,0,0
94,3.0,0.2756892230576441,0,1,0
95,4.0,0.14786967418546365,0,0,1
96,1.0,0.26575342465753427,0,0,0
97,2.0,0.30684931506849317,1,0,0
98,3.0,0.29863013698630136,0,1,0
99,4.0,0.12876712328767123,0,0,1
100,1.0,0.36977491961414793,0,0,0
101,2.0,0.3086816720257235,1,0,0
102,3.0,0.1864951768488746,0,1,0
103,4.0,0.13504823151125403,0,0,1
