,how_many,0.0,0.001,5.0,15.001
15,2,0,0,0,1
253,2,0,1,0,0
279,98,0,0,0,1
701,1,0,0,0,1
714,6,0,0,0,1
729,9,0,0,0,1
738,8,0,0,0,1
756,4,0,1,0,0
784,3,0,0,0,1
983,7,0,0,0,1
1001,21,0,0,0,1
1086,3,0,0,1,0
1092,3,0,0,0,1
1103,5,0,0,1,0
1105,10,0,0,1,0
1111,5,0,0,0,0
1117,13,0,0,0,0
1120,11,0,0,1,0
1128,10,0,0,0,0
1134,15,0,0,0,0
1240,1,0,0,0,1
1242,2,0,1,0,0
1278,2,0,0,1,0
1291,1,0,0,1,0
1322,4,1,0,0,0
1358,7,0,0,0,1
1427,2,0,0,0,1
1440,2,0,0,0,1
1449,1,0,0,1,0
1465,2,0,1,0,0
1472,4,0,0,1,0
1714,1,0,0,1,0
1724,10,1,0,0,0
1765,15,0,0,0,0
2179,8,0,0,1,0
2190,40,0,0,0,1
2198,30,0,0,0,1
2220,25,0,0,0,1
2222,20,0,0,0,1
2236,20,0,0,0,1
2252,15,0,0,0,1
2265,40,0,0,0,1
2269,50,0,0,1,0
2282,30,0,1,0,0
2364,4,0,0,0,1
2392,6,1,0,0,0
2441,1,1,0,0,0
2512,15,0,0,1,0
2516,8,0,1,0,0
2609,26,0,1,0,0
2995,1,0,0,0,1
3063,25,0,0,0,1
3083,2,0,0,0,1
3121,4,0,0,0,1
3139,1,0,1,0,0
3167,9,0,1,0,0
3170,3,1,0,0,0
3205,4,1,0,0,0
3218,3,1,0,0,0
3349,8,0,0,1,0
3354,45,0,0,1,0
3363,45,0,0,0,1
3368,35,0,0,0,1
3375,30,0,0,0,1
3385,25,0,0,0,1
3394,20,0,0,0,1
3415,40,0,0,0,1
3426,20,0,0,0,1
3435,12,0,0,0,1
3449,8,0,1,0,0
3460,80,1,0,0,0
3465,20,1,0,0,0
3485,3,1,0,0,0
3708,2,0,0,1,0
3738,3,0,0,0,0
3747,1,0,0,1,0
3765,4,0,0,0,1
3804,2,0,0,0,0
3812,1,0,0,0,0
4035,21,0,1,0,0
4039,11,0,1,0,0
4054,25,0,1,0,0
4058,24,0,0,1,0
4069,19,0,0,0,1
4075,53,0,0,1,0
4084,35,0,0,1,0
4089,35,0,0,1,0
4097,12,0,1,0,0
